Bank_code,Period,Item,Scenario,AMOUNT
0SK1ILSPWNVBNQWU0W18,201512,993407,2,0
0SK1ILSPWNVBNQWU0W18,201512,993407,3,0
0SK1ILSPWNVBNQWU0W18,201612,993407,2,0
0SK1ILSPWNVBNQWU0W18,201612,993407,3,0
0SK1ILSPWNVBNQWU0W18,201312,993408,1,0
0SK1ILSPWNVBNQWU0W18,201412,993408,2,0
0SK1ILSPWNVBNQWU0W18,201412,993408,3,0
0SK1ILSPWNVBNQWU0W18,201512,993408,2,0
0SK1ILSPWNVBNQWU0W18,201512,993408,3,0
0SK1ILSPWNVBNQWU0W18,201612,993408,2,0
0SK1ILSPWNVBNQWU0W18,201612,993408,3,0
0SK1ILSPWNVBNQWU0W18,201312,993409,1,0
0SK1ILSPWNVBNQWU0W18,201412,993409,2,0
0SK1ILSPWNVBNQWU0W18,201412,993409,3,0
0SK1ILSPWNVBNQWU0W18,201512,993409,2,0
0SK1ILSPWNVBNQWU0W18,201512,993409,3,0
0SK1ILSPWNVBNQWU0W18,201612,993409,2,0
0SK1ILSPWNVBNQWU0W18,201612,993409,3,0
0SK1ILSPWNVBNQWU0W18,201312,993410,1,400
0SK1ILSPWNVBNQWU0W18,201412,993410,2,400
0SK1ILSPWNVBNQWU0W18,201412,993410,3,400
0SK1ILSPWNVBNQWU0W18,201512,993410,2,400
0SK1ILSPWNVBNQWU0W18,201512,993410,3,400
0SK1ILSPWNVBNQWU0W18,201612,993410,2,400
0SK1ILSPWNVBNQWU0W18,201612,993410,3,400
0SK1ILSPWNVBNQWU0W18,201312,993411,1,0
0SK1ILSPWNVBNQWU0W18,201412,993411,2,0
0SK1ILSPWNVBNQWU0W18,201412,993411,3,0
0SK1ILSPWNVBNQWU0W18,201512,993411,2,0
0SK1ILSPWNVBNQWU0W18,201512,993411,3,0
0SK1ILSPWNVBNQWU0W18,201612,993411,2,0
0SK1ILSPWNVBNQWU0W18,201612,993411,3,0
0SK1ILSPWNVBNQWU0W18,201312,993412,1,0
0SK1ILSPWNVBNQWU0W18,201412,993412,2,0
0SK1ILSPWNVBNQWU0W18,201412,993412,3,0
0SK1ILSPWNVBNQWU0W18,201512,993412,2,0
0SK1ILSPWNVBNQWU0W18,201512,993412,3,0
0SK1ILSPWNVBNQWU0W18,201612,993412,2,0
0SK1ILSPWNVBNQWU0W18,201612,993412,3,0
0SK1ILSPWNVBNQWU0W18,201312,993413,1,0
0SK1ILSPWNVBNQWU0W18,201412,993413,2,0
0SK1ILSPWNVBNQWU0W18,201412,993413,3,0
0SK1ILSPWNVBNQWU0W18,201512,993413,2,0
0SK1ILSPWNVBNQWU0W18,201512,993413,3,0
0SK1ILSPWNVBNQWU0W18,201612,993413,2,0
0SK1ILSPWNVBNQWU0W18,201612,993413,3,0
0SK1ILSPWNVBNQWU0W18,201312,993414,1,-9
0SK1ILSPWNVBNQWU0W18,201412,993414,2,-9
0SK1ILSPWNVBNQWU0W18,201412,993414,3,-9
0SK1ILSPWNVBNQWU0W18,201512,993414,2,-9
0SK1ILSPWNVBNQWU0W18,201512,993414,3,-9
0SK1ILSPWNVBNQWU0W18,201612,993414,2,-9
0SK1ILSPWNVBNQWU0W18,201612,993414,3,-9
0SK1ILSPWNVBNQWU0W18,201312,993415,1,0
0SK1ILSPWNVBNQWU0W18,201412,993415,2,0
0SK1ILSPWNVBNQWU0W18,201412,993415,3,0
0SK1ILSPWNVBNQWU0W18,201512,993415,2,0
0SK1ILSPWNVBNQWU0W18,201512,993415,3,0
0SK1ILSPWNVBNQWU0W18,201612,993415,2,0
0SK1ILSPWNVBNQWU0W18,201612,993415,3,0
0SK1ILSPWNVBNQWU0W18,201312,993416,1,0
0SK1ILSPWNVBNQWU0W18,201412,993416,2,0
0SK1ILSPWNVBNQWU0W18,201412,993416,3,0
0SK1ILSPWNVBNQWU0W18,201512,993416,2,0
0SK1ILSPWNVBNQWU0W18,201512,993416,3,0
0SK1ILSPWNVBNQWU0W18,201612,993416,2,0
0SK1ILSPWNVBNQWU0W18,201612,993416,3,0
0SK1ILSPWNVBNQWU0W18,201312,993417,1,0
0SK1ILSPWNVBNQWU0W18,201412,993417,2,0
0SK1ILSPWNVBNQWU0W18,201412,993417,3,0
0SK1ILSPWNVBNQWU0W18,201512,993417,2,0
0SK1ILSPWNVBNQWU0W18,201512,993417,3,0
0SK1ILSPWNVBNQWU0W18,201612,993417,2,0
0SK1ILSPWNVBNQWU0W18,201612,993417,3,0
0SK1ILSPWNVBNQWU0W18,201312,993418,1,0
0SK1ILSPWNVBNQWU0W18,201412,993418,2,0
0SK1ILSPWNVBNQWU0W18,201412,993418,3,0
0SK1ILSPWNVBNQWU0W18,201512,993418,2,0
0SK1ILSPWNVBNQWU0W18,201512,993418,3,0
0SK1ILSPWNVBNQWU0W18,201612,993418,2,0
0SK1ILSPWNVBNQWU0W18,201612,993418,3,0
0SK1ILSPWNVBNQWU0W18,201312,993419,1,0
0SK1ILSPWNVBNQWU0W18,201412,993419,2,0
0SK1ILSPWNVBNQWU0W18,201412,993419,3,0
0SK1ILSPWNVBNQWU0W18,201512,993419,2,0
0SK1ILSPWNVBNQWU0W18,201512,993419,3,0
0SK1ILSPWNVBNQWU0W18,201612,993419,2,0
0SK1ILSPWNVBNQWU0W18,201612,993419,3,0
0SK1ILSPWNVBNQWU0W18,201312,993420,1,0
0SK1ILSPWNVBNQWU0W18,201412,993420,2,0
0SK1ILSPWNVBNQWU0W18,201412,993420,3,0
0SK1ILSPWNVBNQWU0W18,201512,993420,2,0
0SK1ILSPWNVBNQWU0W18,201512,993420,3,0
0SK1ILSPWNVBNQWU0W18,201612,993420,2,0
0SK1ILSPWNVBNQWU0W18,201612,993420,3,0
0SK1ILSPWNVBNQWU0W18,201312,993421,1,0
0SK1ILSPWNVBNQWU0W18,201412,993421,2,0
0SK1ILSPWNVBNQWU0W18,201412,993421,3,0
0SK1ILSPWNVBNQWU0W18,201512,993421,2,0
0SK1ILSPWNVBNQWU0W18,201512,993421,3,0
0SK1ILSPWNVBNQWU0W18,201612,993421,2,0
0SK1ILSPWNVBNQWU0W18,201612,993421,3,0
0SK1ILSPWNVBNQWU0W18,201312,993422,1,-70
0SK1ILSPWNVBNQWU0W18,201412,993422,2,-65
0SK1ILSPWNVBNQWU0W18,201412,993422,3,-72
0SK1ILSPWNVBNQWU0W18,201512,993422,2,-71
0SK1ILSPWNVBNQWU0W18,201512,993422,3,-92
0SK1ILSPWNVBNQWU0W18,201612,993422,2,-76
